date,cy_date,year,month_name,date_yy_mmm
2019-07-19 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-20 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-21 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-22 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-23 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-24 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-25 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-26 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-27 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-28 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-29 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-30 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-07-31 00:00:00.000,2019-07-01 00:00:00.000,2019,"July","19-Jul"
2019-08-01 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-02 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-03 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-04 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-05 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-06 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-07 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-08 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-09 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-10 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-11 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-12 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-13 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-14 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-15 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-16 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-17 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-18 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-19 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-20 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-21 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-22 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-23 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-24 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-25 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-26 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-27 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-28 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-29 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-30 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-08-31 00:00:00.000,2019-08-01 00:00:00.000,2019,"August","19-Aug"
2019-09-01 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-02 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-03 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-04 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-05 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-06 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-07 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-08 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-09 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-10 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-11 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-12 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-13 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-14 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-15 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-16 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-17 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-18 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-19 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-20 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-21 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-22 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-23 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-24 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-25 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-26 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-27 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-28 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-29 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-09-30 00:00:00.000,2019-09-01 00:00:00.000,2019,"September","19-Sep"
2019-10-01 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-02 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-03 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-04 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-05 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-06 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-07 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-08 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-09 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-10 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-11 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-12 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-13 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-14 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-15 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-16 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-17 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-18 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-19 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-20 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-21 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-22 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-23 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-24 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-25 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-26 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-27 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-28 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-29 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-30 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-10-31 00:00:00.000,2019-10-01 00:00:00.000,2019,"October","19-Oct"
2019-11-01 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-02 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-03 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-04 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-05 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-06 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-07 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-08 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-09 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-10 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-11 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-12 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-13 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-14 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-15 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-16 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-17 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-18 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-19 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-20 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-21 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-22 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-23 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-24 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-25 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-26 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-27 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-28 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-29 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-11-30 00:00:00.000,2019-11-01 00:00:00.000,2019,"November","19-Nov"
2019-12-01 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-02 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-03 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-04 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-05 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-06 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-07 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-08 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-09 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-10 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-11 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-12 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-13 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-14 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-15 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-16 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-17 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-18 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-19 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-20 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-21 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-22 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-23 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-24 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-25 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-26 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-27 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-28 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-29 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-30 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2019-12-31 00:00:00.000,2019-12-01 00:00:00.000,2019,"December","19-Dec"
2017-06-01 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-02 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-03 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-04 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-05 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-06 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-07 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-08 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-09 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-10 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-11 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-12 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-13 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-14 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-15 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-16 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-17 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-18 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-19 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-20 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-21 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-22 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-23 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-24 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-25 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-26 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-27 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-28 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-29 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-06-30 00:00:00.000,2017-06-01 00:00:00.000,2017,"June","17-Jun"
2017-07-01 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-03 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-04 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-05 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-06 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-07 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-08 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-09 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-10 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-11 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-12 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-13 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-14 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-15 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-16 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-17 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-18 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-19 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-20 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-21 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-22 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-23 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-24 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-25 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-26 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-27 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-28 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-29 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-30 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-07-31 00:00:00.000,2017-07-01 00:00:00.000,2017,"July","17-Jul"
2017-08-01 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-02 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-03 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-04 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-05 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-06 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-07 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-08 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-09 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-10 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-11 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-12 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-13 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-14 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-15 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-16 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-17 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-18 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-19 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-20 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-21 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-22 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-23 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-24 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-25 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-26 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-27 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-28 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-29 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-30 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-08-31 00:00:00.000,2017-08-01 00:00:00.000,2017,"August","17-Aug"
2017-09-01 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-02 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-03 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-04 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-05 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-06 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-07 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-08 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-09 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-10 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-11 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-12 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-13 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-14 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-15 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-16 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-17 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-18 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-19 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-20 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-21 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
2017-09-22 00:00:00.000,2017-09-01 00:00:00.000,2017,"September","17-Sep"
